source_id,organization_name,country_region,category,primary_domains,official_site_url,official_newsroom_url,official_blog_url,research_url,developer_blog_url,release_notes_url,github_org_url,rss_atom_url,machine_access,primary_monitor_url,primary_monitor_rationale,primary_language,update_frequency,ai_gaiden_relevance,tech_gaiden_relevance,priority,update_detection,automation_ease,notes,last_verified
ibm-cloud,IBM,米国,クラウド／AIインフラ,watsonx、ハイブリッドクラウド、量子,https://www.ibm.com/,https://newsroom.ibm.com/,https://www.ibm.com/think,https://research.ibm.com/,https://developer.ibm.com/,,https://github.com/IBM,,https://api.github.com/orgs/IBM/repos?per_page=100&sort=updated,https://newsroom.ibm.com/,公式編集面の時系列一覧を主監視し、更新日・新規記事URLで差分を検知する。Release Notesは細かな製品変更の補完に使う。,英語,週次〜月次,高,非常に高,A,公式Newsroom／Blog／Research一覧のHTML巡回（Release Notesがある場合は補完）,中,RSS／API欄が空欄の場合は、今回の確認で公式URLを安全に特定できなかったため未登録。不存在を意味しない。,2026-08-18
netlify,Netlify,米国,クラウド／AIインフラ,Web基盤、開発者プラットフォーム,https://www.netlify.com/,https://www.netlify.com/blog/,https://www.netlify.com/blog/,,https://www.netlify.com/blog/,https://www.netlify.com/changelog/,https://github.com/netlify,,https://api.github.com/orgs/netlify/repos?per_page=100&sort=updated,https://www.netlify.com/blog/,公式編集面の時系列一覧を主監視し、更新日・新規記事URLで差分を検知する。Release Notesは細かな製品変更の補完に使う。,英語,週次〜月次,中,高,B,公式Newsroom／Blog／Research一覧のHTML巡回（Release Notesがある場合は補完）,中,RSS／API欄が空欄の場合は、今回の確認で公式URLを安全に特定できなかったため未登録。不存在を意味しない。,2026-08-18
snowflake,Snowflake,米国,クラウド／AIインフラ,データクラウド、AI、分析,https://www.snowflake.com/,https://www.snowflake.com/en/news/,https://www.snowflake.com/en/blog/,,https://www.snowflake.com/en/blog/,https://docs.snowflake.com/en/release-notes/overview,https://github.com/snowflakedb,,https://api.github.com/orgs/snowflakedb/repos?per_page=100&sort=updated,https://www.snowflake.com/en/news/,公式編集面の時系列一覧を主監視し、更新日・新規記事URLで差分を検知する。Release Notesは細かな製品変更の補完に使う。,英語,週次〜月次,高,非常に高,A,公式Newsroom／Blog／Research一覧のHTML巡回（Release Notesがある場合は補完）,中,RSS／API欄が空欄の場合は、今回の確認で公式URLを安全に特定できなかったため未登録。不存在を意味しない。,2026-08-18
coreweave,CoreWeave,米国,クラウド／AIインフラ,GPUクラウド、AIインフラ,https://www.coreweave.com/,https://www.coreweave.com/news,https://www.coreweave.com/blog,,,,,,,https://www.coreweave.com/news,公式編集面の時系列一覧を主監視し、更新日・新規記事URLで差分を検知する。Release Notesは細かな製品変更の補完に使う。,英語,週次〜月次,高,高,B,公式Newsroom／Blog／Research一覧のHTML巡回（Release Notesがある場合は補完）,中,RSS／API欄が空欄の場合は、今回の確認で公式URLを安全に特定できなかったため未登録。不存在を意味しない。,2026-08-18
together-ai,Together AI,米国,クラウド／AIインフラ,オープンモデル、AIクラウド、推論,https://www.together.ai/,https://www.together.ai/blog,https://www.together.ai/blog,,https://docs.together.ai/,https://docs.together.ai/docs/changelog,https://github.com/togethercomputer,,https://api.github.com/orgs/togethercomputer/repos?per_page=100&sort=updated,https://www.together.ai/blog,公式編集面の時系列一覧を主監視し、更新日・新規記事URLで差分を検知する。Release Notesは細かな製品変更の補完に使う。,英語,週次〜月次,高,高,A,公式Newsroom／Blog／Research一覧のHTML巡回（Release Notesがある場合は補完）,中,RSS／API欄が空欄の場合は、今回の確認で公式URLを安全に特定できなかったため未登録。不存在を意味しない。,2026-08-18
groq,Groq,米国,クラウド／AIインフラ,AI推論チップ、推論クラウド,https://groq.com/,https://groq.com/news/,https://groq.com/news/,,https://console.groq.com/docs/overview,https://console.groq.com/docs/changelog,https://github.com/groq,,https://api.github.com/orgs/groq/repos?per_page=100&sort=updated,https://groq.com/news/,公式編集面の時系列一覧を主監視し、更新日・新規記事URLで差分を検知する。Release Notesは細かな製品変更の補完に使う。,英語,週次〜月次,高,高,A,公式Newsroom／Blog／Research一覧のHTML巡回（Release Notesがある場合は補完）,中,RSS／API欄が空欄の場合は、今回の確認で公式URLを安全に特定できなかったため未登録。不存在を意味しない。,2026-08-18
cerebras,Cerebras,米国,クラウド／AIインフラ,AIチップ、推論、学習クラウド,https://www.cerebras.ai/,https://www.cerebras.ai/company/newsroom,https://www.cerebras.ai/blog,,https://inference-docs.cerebras.ai/,https://inference-docs.cerebras.ai/release-notes,https://github.com/Cerebras,,https://api.github.com/orgs/Cerebras/repos?per_page=100&sort=updated,https://www.cerebras.ai/company/newsroom,公式編集面の時系列一覧を主監視し、更新日・新規記事URLで差分を検知する。Release Notesは細かな製品変更の補完に使う。,英語,週次〜月次,高,高,A,公式Newsroom／Blog／Research一覧のHTML巡回（Release Notesがある場合は補完）,中,公式NewsroomはPress Releases・公式Blog・第三者ニュースを併載する。一次情報としてはPress ReleasesとBlogsを優先して取得する。,2026-08-18
modal,Modal,米国,クラウド／AIインフラ,サーバーレスGPU、AIアプリ実行基盤,https://modal.com/,https://modal.com/blog,https://modal.com/blog,,https://modal.com/docs,https://modal.com/docs/changelog,https://github.com/modal-labs,,https://api.github.com/orgs/modal-labs/repos?per_page=100&sort=updated,https://modal.com/blog,公式編集面の時系列一覧を主監視し、更新日・新規記事URLで差分を検知する。Release Notesは細かな製品変更の補完に使う。,英語,週次〜月次,高,高,B,公式Newsroom／Blog／Research一覧のHTML巡回（Release Notesがある場合は補完）,中,RSS／API欄が空欄の場合は、今回の確認で公式URLを安全に特定できなかったため未登録。不存在を意味しない。,2026-08-18
gitlab,GitLab,米国,開発者向けサービス,DevSecOps、AI支援開発,https://about.gitlab.com/,https://about.gitlab.com/press/releases/,https://about.gitlab.com/blog/,,https://about.gitlab.com/blog/categories/company/,https://about.gitlab.com/releases/,,,,https://about.gitlab.com/press/releases/,公式編集面の時系列一覧を主監視し、更新日・新規記事URLで差分を検知する。Release Notesは細かな製品変更の補完に使う。,英語,週次〜月次,高,非常に高,A,公式Newsroom／Blog／Research一覧のHTML巡回（Release Notesがある場合は補完）,中,RSS／API欄が空欄の場合は、今回の確認で公式URLを安全に特定できなかったため未登録。不存在を意味しない。,2026-08-18
atlassian,Atlassian,オーストラリア,開発者向けサービス,コラボレーション、開発管理、AI,https://www.atlassian.com/,https://www.atlassian.com/company/news,https://www.atlassian.com/blog,,https://developer.atlassian.com/blog/,,https://github.com/atlassian,,https://api.github.com/orgs/atlassian/repos?per_page=100&sort=updated,https://www.atlassian.com/company/news,公式編集面の時系列一覧を主監視し、更新日・新規記事URLで差分を検知する。Release Notesは細かな製品変更の補完に使う。,英語,週次〜月次,中,高,B,公式Newsroom／Blog／Research一覧のHTML巡回（Release Notesがある場合は補完）,中,RSS／API欄が空欄の場合は、今回の確認で公式URLを安全に特定できなかったため未登録。不存在を意味しない。,2026-08-18
jetbrains,JetBrains,チェコ,開発者向けサービス,IDE、開発ツール、AIコーディング,https://www.jetbrains.com/,https://blog.jetbrains.com/,https://blog.jetbrains.com/,,https://blog.jetbrains.com/idea/,,https://github.com/JetBrains,,https://api.github.com/orgs/JetBrains/repos?per_page=100&sort=updated,https://blog.jetbrains.com/,公式編集面の時系列一覧を主監視し、更新日・新規記事URLで差分を検知する。Release Notesは細かな製品変更の補完に使う。,英語,週次〜月次,高,高,A,公式Newsroom／Blog／Research一覧のHTML巡回（Release Notesがある場合は補完）,中,RSS／API欄が空欄の場合は、今回の確認で公式URLを安全に特定できなかったため未登録。不存在を意味しない。,2026-08-18
docker,Docker,米国,開発者向けサービス,コンテナ、開発環境、AI開発,https://www.docker.com/,https://www.docker.com/blog/,https://www.docker.com/blog/,,https://www.docker.com/blog/,https://docs.docker.com/desktop/release-notes/,https://github.com/docker,,https://api.github.com/orgs/docker/repos?per_page=100&sort=updated,https://www.docker.com/blog/,公式編集面の時系列一覧を主監視し、更新日・新規記事URLで差分を検知する。Release Notesは細かな製品変更の補完に使う。,英語,週次〜月次,中,非常に高,A,公式Newsroom／Blog／Research一覧のHTML巡回（Release Notesがある場合は補完）,中,RSS／API欄が空欄の場合は、今回の確認で公式URLを安全に特定できなかったため未登録。不存在を意味しない。,2026-08-18
hashicorp,HashiCorp,米国,開発者向けサービス,インフラ自動化、IaC、セキュリティ,https://www.hashicorp.com/,https://www.hashicorp.com/blog,https://www.hashicorp.com/blog,,https://developer.hashicorp.com/,,https://github.com/hashicorp,,https://api.github.com/orgs/hashicorp/repos?per_page=100&sort=updated,https://www.hashicorp.com/blog,公式編集面の時系列一覧を主監視し、更新日・新規記事URLで差分を検知する。Release Notesは細かな製品変更の補完に使う。,英語,週次〜月次,中,非常に高,A,公式Newsroom／Blog／Research一覧のHTML巡回（Release Notesがある場合は補完）,中,RSS／API欄が空欄の場合は、今回の確認で公式URLを安全に特定できなかったため未登録。不存在を意味しない。,2026-08-18
supabase,Supabase,米国,開発者向けサービス,オープンソースBaaS、データベース、AI,https://supabase.com/,https://supabase.com/blog,https://supabase.com/blog,,https://supabase.com/docs,https://supabase.com/changelog,https://github.com/supabase,,https://api.github.com/orgs/supabase/repos?per_page=100&sort=updated,https://supabase.com/blog,公式編集面の時系列一覧を主監視し、更新日・新規記事URLで差分を検知する。Release Notesは細かな製品変更の補完に使う。,英語,週次〜月次,高,高,A,公式Newsroom／Blog／Research一覧のHTML巡回（Release Notesがある場合は補完）,中,RSS／API欄が空欄の場合は、今回の確認で公式URLを安全に特定できなかったため未登録。不存在を意味しない。,2026-08-18
mongodb,MongoDB,米国,開発者向けサービス,データベース、ベクトル検索、AIアプリ,https://www.mongodb.com/,https://www.mongodb.com/press,https://www.mongodb.com/blog,,https://www.mongodb.com/developer/,https://www.mongodb.com/docs/manual/release-notes/,https://github.com/mongodb,,https://api.github.com/orgs/mongodb/repos?per_page=100&sort=updated,https://www.mongodb.com/press,公式編集面の時系列一覧を主監視し、更新日・新規記事URLで差分を検知する。Release Notesは細かな製品変更の補完に使う。,英語,週次〜月次,高,高,A,公式Newsroom／Blog／Research一覧のHTML巡回（Release Notesがある場合は補完）,中,RSS／API欄が空欄の場合は、今回の確認で公式URLを安全に特定できなかったため未登録。不存在を意味しない。,2026-08-18
elastic,Elastic,オランダ／米国,開発者向けサービス,検索、オブザーバビリティ、セキュリティ、AI,https://www.elastic.co/,https://www.elastic.co/about/press,https://www.elastic.co/blog,,https://www.elastic.co/guide/,https://www.elastic.co/guide/en/elasticsearch/reference/current/es-release-notes.html,https://github.com/elastic,,https://api.github.com/orgs/elastic/repos?per_page=100&sort=updated,https://www.elastic.co/about/press,公式編集面の時系列一覧を主監視し、更新日・新規記事URLで差分を検知する。Release Notesは細かな製品変更の補完に使う。,英語,週次〜月次,高,高,A,公式Newsroom／Blog／Research一覧のHTML巡回（Release Notesがある場合は補完）,中,RSS／API欄が空欄の場合は、今回の確認で公式URLを安全に特定できなかったため未登録。不存在を意味しない。,2026-08-18
datadog,Datadog,米国,開発者向けサービス,監視、セキュリティ、AI運用,https://www.datadoghq.com/,https://www.datadoghq.com/about/latest-news/,https://www.datadoghq.com/blog/,,https://www.datadoghq.com/blog/engineering/,https://docs.datadoghq.com/release_notes/,https://github.com/DataDog,,https://api.github.com/orgs/DataDog/repos?per_page=100&sort=updated,https://www.datadoghq.com/about/latest-news/,公式編集面の時系列一覧を主監視し、更新日・新規記事URLで差分を検知する。Release Notesは細かな製品変更の補完に使う。,英語,週次〜月次,中,高,B,公式Newsroom／Blog／Research一覧のHTML巡回（Release Notesがある場合は補完）,中,RSS／API欄が空欄の場合は、今回の確認で公式URLを安全に特定できなかったため未登録。不存在を意味しない。,2026-08-18
sentry,Sentry,米国,開発者向けサービス,アプリ監視、開発者生産性、AI可観測性,https://sentry.io/,https://sentry.io/updates/,https://sentry.io/updates/,,https://develop.sentry.dev/,https://sentry.io/changelog/,https://github.com/getsentry,,https://api.github.com/orgs/getsentry/repos?per_page=100&sort=updated,https://sentry.io/updates/,公式編集面の時系列一覧を主監視し、更新日・新規記事URLで差分を検知する。Release Notesは細かな製品変更の補完に使う。,英語,週次〜月次,中,高,B,公式Newsroom／Blog／Research一覧のHTML巡回（Release Notesがある場合は補完）,中,RSS／API欄が空欄の場合は、今回の確認で公式URLを安全に特定できなかったため未登録。不存在を意味しない。,2026-08-18
postman,Postman,米国,開発者向けサービス,APIプラットフォーム、AIエージェント開発,https://www.postman.com/,https://blog.postman.com/,https://blog.postman.com/,,https://learning.postman.com/,https://www.postman.com/changelog/,https://github.com/postmanlabs,,https://api.github.com/orgs/postmanlabs/repos?per_page=100&sort=updated,https://blog.postman.com/,公式編集面の時系列一覧を主監視し、更新日・新規記事URLで差分を検知する。Release Notesは細かな製品変更の補完に使う。,英語,週次〜月次,中,高,B,公式Newsroom／Blog／Research一覧のHTML巡回（Release Notesがある場合は補完）,中,RSS／API欄が空欄の場合は、今回の確認で公式URLを安全に特定できなかったため未登録。不存在を意味しない。,2026-08-18
stripe,Stripe,米国,開発者向けサービス,決済API、AIビジネス基盤,https://stripe.com/,https://stripe.com/newsroom,https://stripe.com/blog,,https://stripe.com/blog/engineering,https://docs.stripe.com/changelog,https://github.com/stripe,,https://api.github.com/orgs/stripe/repos?per_page=100&sort=updated,https://stripe.com/newsroom,公式編集面の時系列一覧を主監視し、更新日・新規記事URLで差分を検知する。Release Notesは細かな製品変更の補完に使う。,英語,週次〜月次,中,高,B,公式Newsroom／Blog／Research一覧のHTML巡回（Release Notesがある場合は補完）,中,RSS／API欄が空欄の場合は、今回の確認で公式URLを安全に特定できなかったため未登録。不存在を意味しない。,2026-08-18
twilio,Twilio,米国,開発者向けサービス,通信API、コンタクトセンターAI,https://www.twilio.com/,https://www.twilio.com/en-us/press,https://www.twilio.com/blog,,https://www.twilio.com/blog/developers,,https://github.com/twilio,,https://api.github.com/orgs/twilio/repos?per_page=100&sort=updated,https://www.twilio.com/en-us/press,公式編集面の時系列一覧を主監視し、更新日・新規記事URLで差分を検知する。Release Notesは細かな製品変更の補完に使う。,英語,週次〜月次,中,高,B,公式Newsroom／Blog／Research一覧のHTML巡回（Release Notesがある場合は補完）,中,RSS／API欄が空欄の場合は、今回の確認で公式URLを安全に特定できなかったため未登録。不存在を意味しない。,2026-08-18
salesforce,Salesforce,米国,開発者向けサービス,CRM、企業向けAI、データクラウド,https://www.salesforce.com/,https://www.salesforce.com/news/,https://www.salesforce.com/blog/,,https://developer.salesforce.com/blogs,https://help.salesforce.com/s/articleView?id=release-notes.salesforce_release_notes.htm,https://github.com/forcedotcom,,https://api.github.com/orgs/forcedotcom/repos?per_page=100&sort=updated,https://www.salesforce.com/news/,公式編集面の時系列一覧を主監視し、更新日・新規記事URLで差分を検知する。Release Notesは細かな製品変更の補完に使う。,英語,週次〜月次,高,非常に高,A,公式Newsroom／Blog／Research一覧のHTML巡回（Release Notesがある場合は補完）,中,RSS／API欄が空欄の場合は、今回の確認で公式URLを安全に特定できなかったため未登録。不存在を意味しない。,2026-08-18
amd,AMD,米国,半導体／AIハードウェア,CPU、GPU、AIアクセラレータ,https://www.amd.com/,https://ir.amd.com/news-events/press-releases,https://community.amd.com/t5/ai/bg-p/ai,,https://developer.amd.com/,,https://github.com/AMD,,https://api.github.com/orgs/AMD/repos?per_page=100&sort=updated,https://ir.amd.com/news-events/press-releases,公式編集面の時系列一覧を主監視し、更新日・新規記事URLで差分を検知する。Release Notesは細かな製品変更の補完に使う。,英語,週次〜月次,高,非常に高,A,公式Newsroom／Blog／Research一覧のHTML巡回（Release Notesがある場合は補完）,中,RSS／API欄が空欄の場合は、今回の確認で公式URLを安全に特定できなかったため未登録。不存在を意味しない。,2026-08-18
intel,Intel,米国,半導体／AIハードウェア,CPU、AIアクセラレータ、エッジAI,https://www.intel.com/,https://www.intel.com/content/www/us/en/newsroom.html,https://www.intel.com/content/www/us/en/developer/articles.html,https://www.intel.com/content/www/us/en/research/overview.html,https://www.intel.com/content/www/us/en/developer/overview.html,,https://github.com/intel,,https://api.github.com/orgs/intel/repos?per_page=100&sort=updated,https://www.intel.com/content/www/us/en/newsroom.html,公式編集面の時系列一覧を主監視し、更新日・新規記事URLで差分を検知する。Release Notesは細かな製品変更の補完に使う。,英語,週次〜月次,高,非常に高,A,公式Newsroom／Blog／Research一覧のHTML巡回（Release Notesがある場合は補完）,中,RSS／API欄が空欄の場合は、今回の確認で公式URLを安全に特定できなかったため未登録。不存在を意味しない。,2026-08-18
qualcomm,Qualcomm,米国,半導体／AIハードウェア,モバイル、エッジAI、通信,https://www.qualcomm.com/,https://www.qualcomm.com/news/releases,https://www.qualcomm.com/news/onq,,https://developer.qualcomm.com/,,https://github.com/qualcomm,,https://api.github.com/orgs/qualcomm/repos?per_page=100&sort=updated,https://www.qualcomm.com/news/releases,公式編集面の時系列一覧を主監視し、更新日・新規記事URLで差分を検知する。Release Notesは細かな製品変更の補完に使う。,英語,週次〜月次,高,高,B,公式Newsroom／Blog／Research一覧のHTML巡回（Release Notesがある場合は補完）,中,RSS／API欄が空欄の場合は、今回の確認で公式URLを安全に特定できなかったため未登録。不存在を意味しない。,2026-08-18
arm,Arm,英国,半導体／AIハードウェア,CPU IP、エッジAI、データセンター,https://www.arm.com/,https://newsroom.arm.com/,https://community.arm.com/arm-community-blogs,,https://developer.arm.com/,,https://github.com/ARM-software,,https://api.github.com/orgs/ARM-software/repos?per_page=100&sort=updated,https://newsroom.arm.com/,公式編集面の時系列一覧を主監視し、更新日・新規記事URLで差分を検知する。Release Notesは細かな製品変更の補完に使う。,英語,週次〜月次,高,非常に高,A,公式Newsroom／Blog／Research一覧のHTML巡回（Release Notesがある場合は補完）,中,RSS／API欄が空欄の場合は、今回の確認で公式URLを安全に特定できなかったため未登録。不存在を意味しない。,2026-08-18
tsmc,TSMC,台湾,半導体／AIハードウェア,半導体製造、先端プロセス、AI供給網,https://www.tsmc.com/,https://www.tsmc.com/english/news-events/press-releases,,,,,,,,https://www.tsmc.com/english/news-events/press-releases,公式編集面の時系列一覧を主監視し、更新日・新規記事URLで差分を検知する。Release Notesは細かな製品変更の補完に使う。,英語／中国語,月次〜不定期,高,非常に高,A,公式Newsroom／Blog／Research一覧のHTML巡回（Release Notesがある場合は補完）,中,RSS／API欄が空欄の場合は、今回の確認で公式URLを安全に特定できなかったため未登録。不存在を意味しない。,2026-08-18
broadcom,Broadcom,米国,半導体／AIハードウェア,ネットワーク、カスタムAIチップ、ソフトウェア,https://www.broadcom.com/,https://news.broadcom.com/,,,,,,,,https://news.broadcom.com/,公式編集面の時系列一覧を主監視し、更新日・新規記事URLで差分を検知する。Release Notesは細かな製品変更の補完に使う。,英語,月次〜不定期,高,非常に高,A,公式Newsroom／Blog／Research一覧のHTML巡回（Release Notesがある場合は補完）,中,RSS／API欄が空欄の場合は、今回の確認で公式URLを安全に特定できなかったため未登録。不存在を意味しない。,2026-08-18
tenstorrent,Tenstorrent,カナダ／米国,半導体／AIハードウェア,AIアクセラレータ、オープンソースAI,https://tenstorrent.com/,https://tenstorrent.com/news,https://tenstorrent.com/blog,,https://docs.tenstorrent.com/,,https://github.com/tenstorrent,,https://api.github.com/orgs/tenstorrent/repos?per_page=100&sort=updated,https://tenstorrent.com/news,公式編集面の時系列一覧を主監視し、更新日・新規記事URLで差分を検知する。Release Notesは細かな製品変更の補完に使う。,英語,週次〜月次,高,高,B,公式Newsroom／Blog／Research一覧のHTML巡回（Release Notesがある場合は補完）,中,RSS／API欄が空欄の場合は、今回の確認で公式URLを安全に特定できなかったため未登録。不存在を意味しない。,2026-08-18
adobe,Adobe,米国,デザイン／クリエイティブツール,生成AI、クリエイティブソフト、ドキュメント,https://www.adobe.com/,https://news.adobe.com/,https://blog.adobe.com/,https://research.adobe.com/,https://blog.developer.adobe.com/,,https://github.com/adobe,,https://api.github.com/orgs/adobe/repos?per_page=100&sort=updated,https://news.adobe.com/,公式編集面の時系列一覧を主監視し、更新日・新規記事URLで差分を検知する。Release Notesは細かな製品変更の補完に使う。,英語,週次〜月次,高,非常に高,A,公式Newsroom／Blog／Research一覧のHTML巡回（Release Notesがある場合は補完）,中,RSS／API欄が空欄の場合は、今回の確認で公式URLを安全に特定できなかったため未登録。不存在を意味しない。,2026-08-18
